Country Name,Country Code,Series Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Algeria,DZA,ControlCorruption,-0.589308321,-0.638041079,-0.635961413,-0.666826963,-0.656169534,-0.658903956,-0.598896265,-0.673700511,-0.639462769,-0.613117993,-0.472966939,-0.521544516,-0.572699666,-0.552147269,-0.614938259,-0.633444846,-0.592309475,-0.564962566,-0.466420472,-0.699272692,-0.715244472,-0.928754985,..,-0.987298191
Algeria,DZA,CPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDP,..,871000000,750000000,721000000,647000000,639000000,612000000,671000000,673000000,643000000,638000000,640000000,570000000,573000000,675000000,560000000,518000000,493000000,500000000,509000000,524000000,512000000,..,..
American Samoa,ASM,FDI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,GDPgr,..,1.735015773,-0.782472613,4.411764706,-0.487804878,2.671118531,-6.98757764,-1.679389313,3.149606299,1.762820513,-2.5,-4.334828102,0,0.299850075,-4.166666667,-2.657342657,1.851851852,-4.098360656,-0.408163265,0.409836066,0.965517241,..,..,..
American Samoa,ASM,Oilrents,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..
American Samoa,ASM,Taxrevenue,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,ControlCorruption,1.251356125,1.270272374,1.279687047,1.265453935,1.780229092,1.780649662,1.762287259,1.15941143,1.151729107,1.220693946,0.303002298,0.299411148,0.310445875,0.328756839,0.347466081,0.317555279,0.308062404,0.299861044,0.789309144,0.791444957,..,..,..,..
American Samoa,ASM,CPIA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP,3785067332,3380612573,3324647529,2891001149,3155149348,3218419897,3000162081,2896610480,2789881259,3271685597,3193512950,3188652765,3629133574,3449925739,3688976341,4102319399,3957625367,3459337987,3161084091,2900245324,2366941809,1764279824,1548265808,1432606189
